,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
SMARCA5-AS1,0,0,0.94941336,0,0
SMARCAD1,2567.558651,2522.334811,2546.326631,2399.134897,2733.400807
SMARCAL1,814.6843205,846.6796867,924.7286126,940.5699313,922.0128096
SMARCB1,5553.22372,5738.259623,4784.093921,4736.928277,4574.162664
SMARCC1,8265.816576,7839.858156,8142.168975,7998.252278,8417.242605
SMARCC2,4119.877871,4459.387968,6164.540946,6204.580875,6101.603354
SMARCD1,2010.083428,2007.870155,2601.392606,2484.331449,2442.110035
SMARCD2,9079.367817,8706.324945,7348.459406,7547.278531,7021.984283
SMARCD3,540.4790276,609.2344609,402.5512646,460.0613795,364.7254211
SMARCE1,5645.003178,5760.129578,6042.066623,5856.978944,6215.83503
SMC1A,13455.3217,12791.84083,9243.488473,8670.73706,9219.312155
SMC1B,16.99619584,22.91138143,42.7236012,44.30220691,36.71732428
SMC2,4692.083131,4671.83896,4388.18855,4400.685886,4685.946518
SMC3,3931.786637,3701.229528,3251.740758,3109.106162,3399.208287
SMC4,11779.4968,11014.12591,12405.98437,12355.77191,13110.53259
SMC5,3308.59279,3075.332244,2922.294322,2927.353518,3267.02592
SMC5-AS1,10.1977175,8.331411431,7.59530688,9.087632187,6.527524316
